,"silent_fraction","nonsense_fraction","splice_site_fraction","missense_fraction","recurrent_missense_fraction","frameshift_indel_fraction","inframe_indel_fraction","lost_start_stop_fraction","missense_to_silent","nonsilent_to_silent","norm_missense_poisition_entropy","norm_mutation_entropy","label"
2296,0.71428573,0.2857143,0,0,0,0,0,0,2.5,2.5,2,1.2857143,0
2297,0,0.33333334,0,0,0,0.33333334,0,0.33333334,0,0,0,0.24604683,0
2298,0.125,0.5,0,0,0,0,0,0.25,0.25,0.14285715,2,1.1768796,0
2299,0.6666667,0,0,0,0,0,0,0,0,2,0,1,0
2300,0.5,0.25,0.25,0,0,0,0,0,2,1,0,0.75,0
2301,1,0,0,0,0,0,0,0,0,0,0,0,0
2302,0.2,0.8,0,0,0,0,0,0,0.25,0.25,2,1.6,0
2303,0,1,0,0,0,0,0,0,0,0,2,2,0
2304,0,0,0,0,0,0,0,0.5,0,0,0,0,0
2305,0,0.25,0,0,0,0,0,0.75,0,0,0,0.15563907,0
2306,0.6666667,0.33333334,0,0,0,0,0,0,2,2,0,0.6666667,0
2307,0,1,0,0,0,0,0,0,0,0,0,0,0
2308,0,1,0,0,0,0,0,0,0,0,0,0,0
2309,0,0.8333333,0,0,0,0,0,0.16666667,0,0,1.0736244,1.1399069,0
2310,0.5,0.5,0,0,0,0,0,0,1,1,2,1.5,0
2311,0.16666667,0.6666667,0.16666667,0,0,0,0,0,0.25,0.2,1.75,1.371049,0
2312,0,0,0,0,0,0,0,0,0,0,0,0,0
2313,0,1,0,0,0,0,0,0,0,0,2,2,0
2314,0.5,0.25,0,0,0,0,0,0.25,2,1,0,0.75,0
2315,0.25,0.625,0,0,0,0,0,0.125,0.4,0.33333334,1.6554588,1.4583334,0
2316,0,1,0,0,0,0,0,0,0,0,2,2,0
2317,0.13043478,0.5217391,0.13043478,0.08695652,0,0.04347826,0,0.08695652,0.25,0.15,1.7964906,1.2803036,0
2318,0.22222222,0.44444445,0.22222222,0.11111111,0,0,0,0,0.5,0.2857143,0.8112781,0.9444444,0
2319,0,0,0,0,0,0,0,0,0,0,0,0,0
2320,0,0.8,0.2,0,0,0,0,0,0,0,2,1.8,0
2321,0,0,0,0,0,0,0,1,0,0,0,0,0
2322,0,0.5,0,0,0,0.5,0,0,0,0,0,0.5,0
2323,0,0,0,0,0,0,0,1,0,0,0,0,0
2324,0.16666667,0.33333334,0.16666667,0,0,0,0,0.33333334,0.5,0.2,2,1.0377157,0
2325,0.14285715,0.85714287,0,0,0,0,0,0,0.16666667,0.16666667,1.6131471,1.4089652,0
2326,0.16666667,0.33333334,0,0,0,0.16666667,0,0,0.5,0.2,2,0.86009306,0
2327,0.16666667,0.6666667,0,0,0,0,0,0.083333336,0.25,0.2,1.75,1.4807047,0
2328,0.25,0.25,0,0,0,0,0,0,1,0.33333334,0,0.25,0
2329,0.125,0.75,0,0.125,0,0,0,0,0.16666667,0.14285715,1.2579019,1.145426,0
2330,0,0.5,0,0,0,0.5,0,0,0,0,0,0.5,0
2331,0.2857143,0.5714286,0.14285715,0,0,0,0,0,0.5,0.4,1.75,1.469655,0
2332,0.5,0.5,0,0,0,0,0,0,1,1,0,0,0
2333,0,0.75,0.25,0,0,0,0,0,0,0,2,1.75,0
2334,0,0,0,0,0,0,0,0.5,0,0,0,0,0
2335,0.33333334,0.6666667,0,0,0,0,0,0,0.5,0.5,1,0.91271347,0
2336,0.16666667,0.8333333,0,0,0,0,0,0,0.2,0.2,1.8277293,1.5377157,0
2337,0,1,0,0,0,0,0,0,0,0,2,2,0
2338,0.42857143,0.5714286,0,0,0,0,0,0,0.75,0.75,1.75,1.469655,0
2339,0,0.4,0,0,0,0,0,0.6,0,0,2,0.99043626,0
2340,0.5,0.5,0,0,0,0,0,0,1,1,0,0,0
2341,0,1,0,0,0,0,0,0,0,0,0,0,0
2342,0,0.6666667,0,0,0,0,0,0.33333334,0,0,1,1.2460468,0
2343,0.5,0,0,0,0,0.5,0,0,0,1,0,0.5,0
2344,0,1,0,0,0,0,0,0,0,0,0,0,0
2345,0,1,0,0,0,0,0,0,0,0,2,2,0
2346,0.16666667,0.6666667,0,0,0,0,0,0.16666667,0.25,0.2,1.5,1.2420981,0
2347,0,0.4,0,0.6,0,0,0,0,0,0,2,0.99043626,0
2348,0.5,0.5,0,0,0,0,0,0,1,1,0,0,0
2349,0,0.5,0,0,0,0,0,0.5,0,0,0,0.5,0
2350,0,0.33333334,0,0,0,0,0,0,0,0,0,0.24604683,0
2351,0.18181819,0.54545456,0,0,0,0.09090909,0,0.09090909,0.33333334,0.22222222,1.871049,1.3679454,0
2352,0,0.8,0,0,0,0,0,0.2,0,0,1.75,1.6277294,0
2353,0,0.5,0,0,0,0,0,0.33333334,0,0,2,1.1934264,0
2354,0,0.71428573,0,0,0,0,0.14285715,0.14285715,0,0,2,1.6125122,0
2355,0.33333334,0.6666667,0,0,0,0,0,0,0.5,0.5,2,1.3333334,0
2356,0.14285715,0.71428573,0,0,0,0,0,0.14285715,0.2,0.16666667,1.8277293,1.469655,0
2357,0.125,0.75,0,0,0,0,0,0.125,0.16666667,0.14285715,2,1.625,0
2358,1,0,0,0,0,0,0,0,0,0,0,1,0
2359,0.14285715,0.5,0,0,0,0.14285715,0,0.071428575,0.2857143,0.16666667,1.5544924,1.1179476,0
2360,1,0,0,0,0,0,0,0,0,0,0,0,0
2361,0.33333334,0.33333334,0.083333336,0,0,0,0,0,1,0.5,2,1.2228048,0
2362,0.25,0.75,0,0,0,0,0,0,0.33333334,0.33333334,2,1.5,0
2363,0.25,0.625,0,0,0,0.125,0,0,0.4,0.33333334,1.8277293,1.5416666,0
2364,0.3,0.7,0,0,0,0,0,0,0.42857143,0.42857143,1.796453,1.579588,0
2365,0.11111111,0.44444445,0.18518518,0.074074075,0,0.14814815,0,0,0.25,0.125,1.6105285,1.0704354,1
2366,0,0.6,0,0,0,0.2,0,0,0,0,2,1.4277294,0
2367,0.33333334,0.5,0,0,0,0,0,0,0.6666667,0.5,1.5793802,1.371049,0
2368,1,0,0,0,0,0,0,0,0,0,0,1,0
2369,0.5,0.5,0,0,0,0,0,0,1,1,0,0,0
2370,0.125,0.25,0,0.25,0,0,0,0,0.5,0.14285715,2,0.84354633,0
2371,0,0.5,0,0,0,0,0,0.5,0,0,0,0.5,0
2372,0.5,0.16666667,0,0,0,0,0,0.33333334,3,1,0,0.7043824,0
2373,0,0,1,0,0,0,0,0,0,0,0,0,0
2374,0,0.33333334,0,0,0,0,0,0,0,0,0,0.24604683,0
2375,0,0.5,0,0,0,0,0,0.5,0,0,0,0.5,0
2376,0,1,0,0,0,0,0,0,0,0,1.75,1.75,0
2377,0.2,0.7,0,0,0,0,0.1,0,0.2857143,0.25,1.796453,1.579588,0
2378,0.33333334,0.33333334,0,0,0,0,0,0.33333334,1,0.5,0,0.33333334,0
2379,0.5,0.5,0,0,0,0,0,0,1,1,2,1.5,0
2380,0,0.4,0.2,0,0,0,0,0.4,0,0,2,1.2277293,0
2381,0.33333334,0.33333334,0.33333334,0,0,0,0,0,1,0.5,0,0.33333334,0
2382,0,0.5,0,0,0,0,0,0,0,0,0,0.5,0
2383,0,0.6666667,0.11111111,0,0,0.22222222,0,0,0,0,2,1.5965633,0
2384,0,0.8,0,0,0,0,0,0,0,0,2,1.8,0
2385,0,0.6666667,0.33333334,0,0,0,0,0,0,0,2,1.6666666,0
2386,0.23076923,0.46153846,0,0,0,0,0,0,0.5,0.3,2,1.362696,0
2387,0,0.8,0.2,0,0,0,0,0,0,0,2,1.8,0
2388,0,0.8333333,0,0,0,0,0,0.16666667,0,0,1.8277293,1.7043824,0
2389,0.2,0.8,0,0,0,0,0,0,0.25,0.25,2,1.6,0
2390,0,1,0,0,0,0,0,0,0,0,0,0,0
2391,0.09090909,0.54545456,0,0,0,0.09090909,0,0.27272728,0.16666667,0.1,2,1.2443165,0
2392,0,0.6666667,0.33333334,0,0,0,0,0,0,0,2,1.6666666,0
2393,0.75,0.25,0,0,0,0,0,0,3,3,0,0.75,0
2394,0.083333336,0.9166667,0,0,0,0,0,0,0.09090909,0.09090909,1.6648191,1.5368428,0
2395,0.33333334,0.6666667,0,0,0,0,0,0,0.5,0.5,2,1.3333334,0
2396,0,1,0,0,0,0,0,0,0,0,0,0,0
2397,0.4,0.6,0,0,0,0,0,0,0.6666667,0.6666667,2,1.6,0
